archetype,section_order,section,body
Manufacturing / Light Production,1,1. Which NBCI costs matter here,"Process and backup energy - diesel and LPG - measured against a DisCo-grain electricity benchmark. FX appears as national context only, never as a jurisdiction metric."
Manufacturing / Light Production,2,2. What the data currently shows,"Self-generation was never cheaper than grid at any band or month, and the multiple widened from 2.01x to 5.17x in eight months. The naira APPRECIATED 11.9% over the same period in which diesel rose 158%. Diesel and LPG growth are essentially unrelated across jurisdictions (rho = -0.22)."
Manufacturing / Light Production,3,3. Why that could matter operationally,"Three operational consequences. The generator is outage insurance rather than baseload. An FX hedge would not have protected the energy budget, because the two moved in opposite directions. And because diesel and LPG do not co-move, a plant using both carries two independent risks and cannot use one to offset the other."
Manufacturing / Light Production,4,4. What management should investigate internally,"Measure monthly kWh and your load profile, and verify the band letter and the tariff actually paid. Compare measured outage hours against generator running hours, and treat hours beyond that as a priced decision. Examine whether grid reliability investment or band verification comes before buying generating capacity. Budget diesel and LPG as separate risks."
Manufacturing / Light Production,5,5. Boundary - what this cannot tell you,"No industrial tariff schedule, no consumption data, no load profile. NERC is a single JULY 2025 CROSS-SECTION, not a tariff history, and cannot be assigned to a jurisdiction. No raw materials, plant, labour, land or import duty. The FX-diesel relationship compares two national series over 21 months and establishes NO CAUSAL CLAIM."
Manufacturing / Light Production,6,6. Company data needed before any decision,"Monthly kWh and load profile · the band letter and tariff actually paid · genset fuel burn and maintenance cost · measured outage hours and the cost of an unplanned stop · raw material invoices and import share · energy as a share of cost of production · plant, labour and land costs · order book and demand"
Service Businesses (office-based),1,1. Which NBCI costs matter here,"Local mobility for staff, backup power for the office, and the inflation rate any allowance is indexed to."
Service Businesses (office-based),2,2. What the data currently shows,"Matched by jurisdiction and month over four usable year-on-year months, okada fares rose a median +50.66% against CPI all-items +16.23% - a gap of 35.64 percentage points, with fares above CPI in 98.6% of 148 observations. Intracity bus: +39.37% vs +16.23%, a 21.68-point gap, in 91.2%. Local mobility is the only cost family where jurisdiction choice is both large and persistent."
Service Businesses (office-based),3,3. Why that could matter operationally,"A transport allowance indexed only to CPI would have lagged observed fare growth, reducing the commuting purchasing power the allowance provides. That is a statement about the allowance against fares, NOT about total real pay. And for a business whose main location-sensitive cost is people moving locally, siting is a measurable lever in a way it is not for fuel-intensive operations."
Service Businesses (office-based),4,4. What management should investigate internally,"Compare your allowance uprating mechanism against observed local fares rather than CPI alone - a CPI-only uprate lagged fare growth by 21.7 points (bus) to 35.6 points (okada). Revisit allowances when intracity bus (11.23%) or okada (11.20%) is flagged ELEVATED. For siting, compare persistent positions rather than a single month, and name the mode, not just the place."
Service Businesses (office-based),5,5. Boundary - what this cannot tell you,"NO SALARIES, RENT, INTERNET OR SOFTWARE - the two largest costs of a service business are both absent, so nothing here is a statement about total cost. Published fares are averages for a journey, not any individual's commute, and we hold no distances or trip counts. The fare-versus-CPI comparison rests on only four usable months: 2026-02 is excluded because CPI year-on-year has a genuine hole there, and it is excluded rather than imputed."
Service Businesses (office-based),6,6. Company data needed before any decision,Headcount by location · home-to-work distances and modes actually used · current allowance policy and uprating mechanism · salary bands and local-market pressure · rent and lease terms by site · remote/hybrid split · client location and travel requirements
